gene	cell	time	entropy
Ctnnb1	E14	24	1.6725186021403728
Ctnnb1	E14	48	1.2164941515571792
Ctnnb1	E14	72	0.8017060926765381
Ctnnb1	E14	96	1.6603809867968566
Ctnnb1	E14	120	1.2490217505006518
Ctnnb1	E14	168	1.9389918922090674
Dnmt1	E14	0	1.2392579014253706
Dnmt1	E14	24	1.3076562016593796
Dnmt1	E14	48	1.609958884978541
Dnmt1	E14	72	1.5978966021626029
Dnmt1	E14	96	1.8637869434099383
Dnmt1	E14	120	2.0826520800903046
Dnmt1	E14	168	2.202614901152577
Dnmt3b	E14	0	0.4434924683601915
Dnmt3b	E14	24	1.5647478914725048
Dnmt3b	E14	48	1.4258573646797648
Dnmt3b	E14	72	0.7951107449214546
Dnmt3b	E14	96	1.5156794104452533
Dnmt3b	E14	120	1.9805616227401295
Dnmt3b	E14	168	1.331938043486091
Dppa3	E14	0	1.325721686074694
Dppa3	E14	24	1.176430000047165
Dppa3	E14	48	0.45358915606125516
Dppa3	E14	72	0.5406610274532628
Dppa3	E14	96	0.30566214808350683
Dppa3	E14	120	0.3287768332077482
Dppa3	E14	168	0.17101413880941552
Dppa4	E14	0	1.2922595177247005
Dppa4	E14	24	1.1906928300407882
Dppa4	E14	48	1.2164941515571792
Dppa4	E14	72	1.9080481600569614
Dppa4	E14	96	2.016483818972764
Dppa4	E14	120	0.8520622635614685
Dppa4	E14	168	0.17204673275639695
Eomes	E14	0	1.602479353413436
Eomes	E14	24	1.3968662589977356
Eomes	E14	48	1.1572092428944298
Eomes	E14	72	1.0051642370897453
Eomes	E14	96	-0.0
Eomes	E14	120	0.28734433042361957
Eomes	E14	168	-0.0
Esrrb	E14	0	-0.0
Esrrb	E14	24	1.4805511491994552
Esrrb	E14	48	0.8586999300837495
Esrrb	E14	72	0.15992118175790837
Esrrb	E14	96	0.2996692073712959
Esrrb	E14	120	0.16604753169460829
Esrrb	E14	168	0.16930856967512892
Ezh2	E14	0	1.2623055703116834
Ezh2	E14	24	1.8534639637740165
Ezh2	E14	48	2.173280343023601
Ezh2	E14	72	1.575365052981854
Ezh2	E14	96	2.4308100707280174
Ezh2	E14	120	1.9590477497273977
Ezh2	E14	168	1.688908068509342
Fbxo15	E14	0	0.19144589101085877
Fbxo15	E14	24	0.7417032572452311
Fbxo15	E14	48	1.9183147677077093
Fbxo15	E14	72	1.0910245118590023
Fbxo15	E14	96	0.3093571832577959
Fbxo15	E14	120	0.703057015860459
Fbxo15	E14	168	1.2170263241518953
Fgf4	E14	0	0.4407397930277244
Fgf4	E14	24	1.8304491090740656
Fgf4	E14	48	1.7471967858787243
Fgf4	E14	72	1.2735491643875847
Fgf4	E14	96	0.30935718325779593
Fgf4	E14	120	-0.0
Fgf4	E14	168	-0.0
Fgf5	E14	0	-0.0
Fgf5	E14	24	1.3682654153340696
Fgf5	E14	48	0.8902728841021401
Fgf5	E14	72	1.1236923527521239
Fgf5	E14	96	0.2996692073712959
Fgf5	E14	120	-0.0
Fgf5	E14	168	-0.0
Fgfr2	E14	0	0.7051075738080447
