gene	cell	time	entropy
Cdh1	R1	168	0.5502171658319185
Cdh2	E14	0	1.204464202389623
Cdh2	E14	24	1.336594149206828
Cdh2	E14	48	1.4933762854284234
Cdh2	E14	72	1.4313112573534275
Cdh2	E14	96	1.3043433640343425
Cdh2	E14	120	0.8323428832901426
Cdh2	E14	168	0.8634181981850357
Cdh2	R1	0	1.4418311469264848
Cdh2	R1	24	1.5079815722862526
Cdh2	R1	48	1.2614966777342258
Cdh2	R1	72	1.4036602728223506
Cdh2	R1	96	0.7510439561662843
Cdh2	R1	120	1.3409367366406757
Cdh2	R1	168	1.7335836828161264
Cdk2	E14	0	1.1394603150339089
Cdk2	E14	24	1.2627971466406842
Cdk2	E14	48	1.4174617353356067
Cdk2	E14	72	1.0606641422613057
Cdk2	E14	96	2.230732491904504
Cdk2	E14	120	2.1847356121395807
Cdk2	E14	168	2.1044471718244027
Cdk2	R1	0	1.2701450646899572
Cdk2	R1	24	1.1723045200390483
Cdk2	R1	48	1.2427799209685195
Cdk2	R1	72	1.0778044728220293
Cdk2	R1	96	2.0025962629205947
Cdk2	R1	120	2.191870522233854
Cdk2	R1	168	2.423521419669239
Cdx2	E14	0	0.1879907696723213
Cdx2	E14	24	-0.0
Cdx2	E14	48	0.2894003983960465
Cdx2	E14	72	0.455310252214856
Cdx2	E14	96	-0.0
Cdx2	E14	120	0.16604753169460829
Cdx2	E14	168	0.16930856967512892
Cdx2	R1	0	0.5631348971532455
Cdx2	R1	24	-0.0
Cdx2	R1	48	0.16930856967512892
Cdx2	R1	72	-0.0
Cdx2	R1	96	-0.0
Cdx2	R1	120	0.32395821020351145
Cdx2	R1	168	0.1629212169184182
Cldn6	E14	0	1.0796395467984021
Cldn6	E14	24	1.470286714751745
Cldn6	E14	48	0.17276728930306376
Cldn6	E14	72	1.1859023906982396
Cldn6	E14	96	0.5232778958582208
Cldn6	E14	120	1.1272353392657808
Cldn6	E14	168	1.3388377535520684
Cldn6	R1	0	1.2267897799247356
Cldn6	R1	24	1.3882151943096068
Cldn6	R1	48	0.17276728930306376
Cldn6	R1	72	-0.0
Cldn6	R1	96	0.875316333447734
Cldn6	R1	120	0.6698506839443967
Cldn6	R1	168	1.6696586759341083
Ctcf	E14	0	1.0673149565948585
Ctcf	E14	24	1.4061216166780035
Ctcf	E14	48	1.6681235813661086
Ctcf	E14	72	1.9342384043216652
Ctcf	E14	96	2.5860255768998335
Ctcf	E14	120	2.1515531694150063
Ctcf	E14	168	2.324244582530252
Ctcf	R1	0	1.6446673449420746
Ctcf	R1	24	1.1931833138327326
Ctcf	R1	48	1.7314127987461518
Ctcf	R1	72	1.6378022741946694
Ctcf	R1	96	2.0287061370974744
Ctcf	R1	120	2.0555568331095886
Ctcf	R1	168	2.8419288766187365
Ctnnb1	E14	0	0.6297996834185886
